id_municipio,municipio_nome,nome_rm,legislacao,data,legislacao_data
3503000,Aramina,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3508207,Buritizal,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3513207,Cristais Paulista,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3516200,Franca,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3517406,Guaíra,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3517703,Guará,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3520103,Igarapava,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3521309,Ipuã,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3523701,Itirapuã,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3524105,Ituverava,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3525409,Jeriquara,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3529708,Miguelópolis,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3536307,Patrocínio Paulista,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3537008,Pedregulho,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3542701,Restinga,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3543105,Ribeirão Corrente,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3543600,Rifaina,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3549409,São Joaquim da Barra,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3549508,São José da Bela Vista,Aglomeração Urbana de Franca,Lei Complementar 1.323,2018-05-22,Lei Complementar 1.323 de 22.05.2018
3508405,Cabreúva,Aglomeração Urbana de Jundiaí,Lei Complementar 1.146,2011-08-24,Lei Complementar 1.146 de 24.08.2011
3509601,Campo Limpo Paulista,Aglomeração Urbana de Jundiaí,Lei Complementar 1.146,2011-08-24,Lei Complementar 1.146 de 24.08.2011
3524006,Itupeva,Aglomeração Urbana de Jundiaí,Lei Complementar 1.146,2011-08-24,Lei Complementar 1.146 de 24.08.2011
3525201,Jarinu,Aglomeração Urbana de Jundiaí,Lei Complementar 1.146,2011-08-24,Lei Complementar 1.146 de 24.08.2011
3525904,Jundiaí,Aglomeração Urbana de Jundiaí,Lei Complementar 1.146,2011-08-24,Lei Complementar 1.146 de 24.08.2011
3527306,Louveira,Aglomeração Urbana de Jundiaí,Lei Complementar 1.146,2011-08-24,Lei Complementar 1.146 de 24.08.2011
3556503,Várzea Paulista,Aglomeração Urbana de Jundiaí,Lei Complementar 1.146,2011-08-24,Lei Complementar 1.146 de 24.08.2011
3500600,Águas de São Pedro,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3502002,Analândia,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3503307,Araras,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3510401,Capivari,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3511706,Charqueada,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3512209,Conchal,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3512407,Cordeirópolis,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3512704,Corumbataí,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3514908,Elias Fausto,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3521101,Ipeúna,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3521408,Iracemápolis,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3526407,Laranjal Paulista,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.265,2015-06-15,Lei Complementar 1.265 de 15.06.2015
3526704,Leme,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3526902,Limeira,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3530904,Mombuca,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3538709,Piracicaba,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3542107,Rafard,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3543907,Rio Claro,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3544004,Rio das Pedras,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3545159,Saltinho,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3546702,Santa Gertrudes,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3547007,Santa Maria da Serra,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3550407,São Pedro,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Lei Complementar 1.178,2012-06-26,Lei Complementar 1.178 de 26.06.2012
3506359,Bertioga,Região Metropolitana da Baixada Santista,Lei Complementar 815,1996-07-30,Lei Complementar 815 de 30.07.1996
3513504,Cubatão,Região Metropolitana da Baixada Santista,Lei Complementar 815,1996-07-30,Lei Complementar 815 de 30.07.1996
3518701,Guarujá,Região Metropolitana da Baixada Santista,Lei Complementar 815,1996-07-30,Lei Complementar 815 de 30.07.1996
3522109,Itanhaém,Região Metropolitana da Baixada Santista,Lei Complementar 815,1996-07-30,Lei Complementar 815 de 30.07.1996
3531100,Mongaguá,Região Metropolitana da Baixada Santista,Lei Complementar 815,1996-07-30,Lei Complementar 815 de 30.07.1996
3537602,Peruíbe,Região Metropolitana da Baixada Santista,Lei Complementar 815,1996-07-30,Lei Complementar 815 de 30.07.1996
3541000,Praia Grande,Região Metropolitana da Baixada Santista,Lei Complementar 815,1996-07-30,Lei Complementar 815 de 30.07.1996
3548500,Santos,Região Metropolitana da Baixada Santista,Lei Complementar 815,1996-07-30,Lei Complementar 815 de 30.07.1996
3551009,São Vicente,Região Metropolitana da Baixada Santista,Lei Complementar 815,1996-07-30,Lei Complementar 815 de 30.07.1996
3501608,Americana,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3503802,Artur Nogueira,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3509502,Campinas,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3512803,Cosmópolis,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3515152,Engenheiro Coelho,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3519055,Holambra,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3519071,Hortolândia,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3520509,Indaiatuba,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3523404,Itatiba,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3524709,Jaguariúna,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3531803,Monte Mor,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3532009,Morungaba,Região Metropolitana de Campinas,Lei Complementar 1.234,2014-03-14,Lei Complementar 1.234 de 14.03.2014
3533403,Nova Odessa,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3536505,Paulínia,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3537107,Pedreira,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3545803,Santa Bárbara d'Oeste,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3548005,Santo Antônio de Posse,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3552403,Sumaré,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3556206,Valinhos,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3556701,Vinhedo,Região Metropolitana de Campinas,Lei Complementar 870,2000-06-19,Lei Complementar 870 de 19.06.2000
3505609,Barrinha,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3507803,Brodowski,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3513108,Cravinhos,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3514601,Dumont,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3518859,Guatapará,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3525102,Jardinópolis,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3527603,Luís Antônio,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3540200,Pontal,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3540903,Pradópolis,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3543402,Ribeirão Preto,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3547502,Santa Rita do Passa Quatro,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3550902,São Simão,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3551405,Serra Azul,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3551504,Serrana,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3551702,Sertãozinho,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3518602,Guariba,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3524303,Jaboticabal,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3531308,Monte Alto,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3539509,Pitangueiras,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3553203,Taiúva,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3553658,Taquaral,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3509403,Cajuru,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3510906,Cássia dos Coqueiros,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3530508,Mococa,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3546256,Santa Cruz da Esperança,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3547601,Santa Rosa de Viterbo,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3553302,Tambaú,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3501004,Altinópolis,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3505906,Batatais,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3531902,Morro Agudo,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3533601,Nuporanga,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3534302,Orlândia,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
